evidenceLabel,timestamp,asset,action,direction,priceType,price,entryPrice,markPrice,quantity,pnl,accountBalanceChange,accountBalanceBefore,accountBalanceAfter,naiveAction,naiveDirection,naivePnl,naiveReturnPct,source,rationale
SIMULATED/PAPER_STOCK,2026-05-14T13:30:00.000Z,AAPLUSDT,FADE,long,entry,297.71,297.71,298.47,3.359,1.5,1.5,1000,1001.5,FADE,long,1.5,0.15,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"Small -0.48% gap driven by unconfirmed AI partnership rumors alongside strong iPhone demand headlines; likely sentiment noise rather than fundamental repricing, favoring fade at open."
SIMULATED/PAPER_STOCK,2026-05-18T13:30:00.000Z,AAPLUSDT,FADE,long,entry,298.33,298.33,298.09,3.357,-1.86,-1.86,1001.5,999.64,FADE,long,-1.87,-0.186,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"News is mixed-to-bullish (Viking $1B stake, WWDC dates) with standard regulatory/pricing noise; -0.70% discount lacks fundamental catalyst and reflects typical off-hours token liquidity/sentiment drift."
SIMULATED/PAPER_STOCK,2026-05-19T13:30:00.000Z,AAPLUSDT,FADE,short,entry,299.33,299.33,299.23,3.3396,-0.72,-0.72,999.64,998.92,FADE,short,-0.72,-0.072,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"0.42% premium driven by routine product announcements, app store updates, and analyst predictions rather than fundamental earnings or macro catalysts; typical retail sentiment noise that usually converges at the open."
SIMULATED/PAPER_STOCK,2026-05-22T13:30:00.000Z,AAPLUSDT,FADE,short,entry,308.9,308.9,308.99,3.2338,-1.35,-1.35,998.92,997.57,FADE,short,-1.35,-0.135,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"Headlines are speculative/long-term (SCOTUS case, M&A rumors, spatial computing PR) with no immediate fundamental catalyst; 1.28% premium likely reflects off-hours sentiment/liquidity and should revert at open."
SIMULATED/PAPER_STOCK,2026-05-26T13:30:00.000Z,AAPLUSDT,FADE,short,entry,310.85,310.85,308.33,3.2092,7.03,7.03,997.57,1004.6,FADE,short,7.03,0.705,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"0.60% premium driven by soft, thematic headlines (AI, iPhone sales) with no material overnight catalysts; typical sentiment-driven noise likely to revert as institutional order flow sets the open."
SIMULATED/PAPER_STOCK,2026-05-27T13:30:00.000Z,AAPLUSDT,STAND_ASIDE,flat,entry,312.2,312.2,311.29,0,0,0,1004.6,1004.6,FADE,short,1.87,0.186,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"Gap reflects justified repricing from concrete catalysts (China shipment recovery, AI platform integration, BofA target reset) rather than transient sentiment."
SIMULATED/PAPER_STOCK,2026-06-01T13:30:00.000Z,AAPLUSDT,FADE,long,entry,310.27,310.27,306.55,3.2378,-13.11,-13.11,1004.6,991.49,FADE,long,-13.13,-1.305,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,Competitive laptop/AI chip news and mixed analyst views typically drive short-term sentiment rather than fundamental repricing; the -0.67% overnight dip likely reflects liquidity/sentiment noise that should revert at the open.
SIMULATED/PAPER_STOCK,2026-06-02T13:30:00.000Z,AAPLUSDT,FADE,short,entry,309.43,309.43,315.36,3.2042,-20.05,-20.05,991.49,971.44,FADE,short,-20.09,-2.022,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,Modest 0.94% premium driven by WWDC/AI catalyst speculation and analyst upgrades rather than fundamental overnight shocks. Typical off-hours sentiment drift likely to normalize at open when institutional liquidity returns.
SIMULATED/PAPER_STOCK,2026-06-04T13:30:00.000Z,AAPLUSDT,FADE,short,entry,312.49,312.49,311.59,3.1087,1.77,1.77,971.44,973.21,FADE,short,1.78,0.182,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"0.63% premium driven by routine/backward-looking headlines and minor congressional trades; no material overnight catalysts to justify sustained repricing, typical low-liquidity overnight sentiment likely to arbitrage away at open."
SIMULATED/PAPER_STOCK,2026-06-05T13:30:00.000Z,AAPLUSDT,FADE,short,entry,313.67,313.67,307.61,3.1027,17.77,17.77,973.21,990.98,FADE,short,17.8,1.826,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,Modest 0.67% premium driven by pre-WWDC AI hype and analyst speculation rather than concrete fundamentals; typical sentiment-driven drift likely to normalize at open liquidity.
SIMULATED/PAPER_STOCK,2026-06-08T13:30:00.000Z,AAPLUSDT,FADE,short,entry,311.14,311.14,301.62,3.185,29.27,29.27,990.98,1020.25,FADE,short,29.33,2.954,artifacts/aaplusdt-news-aware-backtest.json + data/aaplusdt-gate-verdicts.json,"WWDC software/AI announcements are scheduled and historically produce muted cash-market reactions; the 1.15% premium likely reflects crypto/retail sentiment rather than fundamental repricing, making it highly fadeable at the open."
